"year","males","females","total"
"1",2008,2039,1945,3984
"2",2009,1950,1829,3779
"3",2010,1850,1686,3536
"4",2011,1911,1803,3714
"5",2012,1463,1455,2918
"6",2013,1407,1482,2889
"7",2014,1332,1347,2679
"8",2015,1563,1601,3164
"9",2016,1718,1791,3509
"10",2017,1733,1814,3547
"11",2018,1602,1552,3154
"12",2019,1620,1617,3237
