"IRG040. Iedzīvotāju skaits pēc vecuma grupām un dzimuma statistiskajos reģionos, republikas pilsētās un novados gada sākumā"

"Gads";"Teritoriālā vienība";"7-18 Pavisam"
"2011";"LATVIJA";240382
"2012";"LATVIJA";229589
"2013";"LATVIJA";224249
"2014";"LATVIJA";221753
"2015";"LATVIJA";222829
"2016";"LATVIJA";225929
"2017";"LATVIJA";228273
"2018";"LATVIJA";229630
"2019";"LATVIJA";230048
